"STATION_ID;""SITE_NAME"";""ZDALY_GAS_BRAND"";""ADDRESS"";""CITY"";""STATE"";""ZIP"";""COUNTY_NAME"";""PRICING_ZONE"";""CLUSTER_MEDIAN_PRICE"";""CLIENT_MARKET_PRICE"";""LATITUDE"";""LONGITUDE"""
"449;""6104 | (E-5 Silza Ensenada y Carr. Transpeninsular)"";Petro 7;Carretera Transpeninsular No. 8781;Ensenada;Baja California;""22785"";ZM Ensenada;""0_Baja_ia"";7.46;7.33;31.79353;-116.5928"
"18946;""6093 | (Blvd. Costero Lazaro Cardenas y Blancarte)"";Petro 7;Boulevard Lázaro Cárdenas No. 980;Ensenada;Baja California;""22800"";ZM Ensenada;""0_Baja_ia"";7.46;7.46;31.85952;-116.6226"
"548;""6058 | (Ensenada (E-4))"";Petro 7;Avenida Ámbar Y Reforma No. 1006;Ensenada;Baja California;""22810"";ZM Ensenada;""0_Baja_ia"";7.46;7.52;31.88323;-116.6105"
"584;""6126 | (San Diego y Novena (Nueva Esperanza))"";Petro 7;Avenida Misión de San Diego Y Calle Novena No. 3499;Mexicali;Baja California;""21399"";ZM Mexicali;""3_Baja_ia"";7.29;7.12;32.63511;-115.3865"
"22066;""6221 | (INDEPENDENCIA ESQ. MONTEJANO)"";Petro 7;"""";Mexicali;Baja California;""21090"";ZM Mexicali;""3_Baja_ia"";7.29;7.29;32.63633;-115.453"
"601;""6152 | (San Jorge (Calzada Hector Terán y Victor Toledano))"";Petro 7;Calzada Héctor Terán No. 1100;Mexicali;Baja California;""21337"";ZM Mexicali;""3_Baja_ia"";7.29;7.85;32.60843;-115.4722"
"457;""6057 | (Rosarito (R-2))"";Petro 7;Boulevard Benito Juárez No. 350;Playas De Rosarito;Baja California;""22710"";ZM Tijuana;""1_Baja_ia"";7.32;7.32;32.36537;-117.0592"
"605;""6084 | (T-24 Silza Tijuana y Gabriel Rodriguez)"";Petro 7;Cucapah No. 20028;Tijuana;Baja California;""22579"";ZM Tijuana;""2_Baja_ia"";7.7;6.88;32.51204;-116.9097"
"18905;""6071 | (Via rapida Y Gpe.Vic.)"";Petro 7;Avenida Via Rapida Oriente No. 14000;Tijuana;Baja California;""22320"";ZM Tijuana;""2_Baja_ia"";7.7;7.26;32.51606;-116.969"
"20009;""6280 | (CALZADA TECNOLOGICO Y UNIVERSIDAD)"";Petro 7;Calzada Tecnológico No. 13801;Tijuana;Baja California;""22350"";ZM Tijuana;""2_Baja_ia"";7.7;7.64;32.52993;-116.9705"
"5819;""6258 | (La Amistad)"";Petro 7;Boulevard Industrial No. 17515;Tijuana;Baja California;""22510"";ZM Tijuana;""2_Baja_ia"";7.7;7.7;32.53352;-116.9412"
"2607;""6035 | (El Realito)"";Petro 7;Carretera Tijuana-Tecate No. 22202;Tijuana;Baja California;""22710"";ZM Tijuana;""2_Baja_ia"";7.7;7.74;32.44479;-116.8697"
"5818;""6257 | (Blvd. Insurgentes)"";Petro 7;Boulevard Insurgentes No. 19381;Tijuana;Baja California;""22225"";ZM Tijuana;""2_Baja_ia"";7.7;7.76;32.46627;-116.9168"
"545;""6048 | (Blvd. Clouthier esq. Calle San Martín)"";Petro 7;Boulevard Manuel J. Clouthier No. 2 Mz. 14 S/N;Tijuana;Baja California;""22226"";ZM Tijuana;""2_Baja_ia"";7.7;7.81;32.49222;-116.9343"
"9005;""6056 | (T1 Vía Rápida Poniente esq. Pacífico)"";Petro 7;Avenida Via Rapida Poniente No. 13002;Tijuana;Baja California;""22320"";ZM Tijuana;;;;;"
"1722;""6227 | (Maya del Norte (Vialidad 90 y Vialidad CH-P))"";Petro 7;Avenida Vialidad Ch-P No. 8812;Chihuahua;Chihuahua;""31416"";ZM Chihuahua;""5_Chih_ua"";8.075;8.02;28.60008;-106.1024"
"21020;""6236 | (SALIDA A CUAUHTEMOC)"";Petro 7;"""";Chihuahua;Chihuahua;""31150"";ZM Chihuahua;""5_Chih_ua"";8.075;8.13;28.51226692;-106.18395266"
"490;""6183 | (Las Industrias (Prol. Carlos Pacheco y Canal))"";Petro 7;Prolongación Carlos Pacheco No. 701;Chihuahua;Chihuahua;""31000"";ZM Chihuahua;""6_Chih_ua"";8.235;7.94;28.65146;-106.0694"
"1286;""6181 | (Platino (Av. De Las Industrias))"";Petro 7;Avenida Industrias No. 6306;Chihuahua;Chihuahua;""31150"";ZM Chihuahua;""6_Chih_ua"";8.235;8.14;28.67927;-106.089"
